"","group","Q","U","B","T","LCL","UCL","SE","Race","Gender","Education","Gender_Education"
"1","Asian Men Associates",72846.5372576633,36777594.9016584,6194876.01560247,43591958.5188212,59905.7927718965,85787.2817434301,6602.42065600346,"Asian","Men","Associates","Men Associates"
"2","Asian Men Bachelors",96857.6067383969,34603534.8775361,15560209.7128241,51719765.5616426,82761.9814815448,110953.231995249,7191.64553921024,"Asian","Men","Bachelors","Men Bachelors"
"3","Asian Men Masters",120946.939564905,36782400.1337503,10182190.0252175,47982809.1614895,107370.093109458,134523.786020352,6926.96247726877,"Asian","Men","Masters","Men Masters"
"4","Asian Men PhD",113876.006737702,84200406.6577166,18543974.9970439,104598779.154465,93830.3920053028,133921.621470102,10227.3544553059,"Asian","Men","PhD","Men PhD"
"5","Asian Men Primary",48143.7040615052,39230802.5967337,7259266.2544353,47215995.4766125,34675.7803825205,61611.6277404898,6871.38963213501,"Asian","Men","Primary","Men Primary"
"6","Asian Men Secondary",61490.5563859503,34001591.8970987,11868728.0306416,47057192.7308044,48045.3002859477,74935.8124859529,6859.82454081767,"Asian","Men","Secondary","Men Secondary"
"7","Asian Women Associates",73103.5420236513,39179294.9188085,2772887.63689302,42229471.3193909,60366.6374930924,85840.4465542102,6498.42067885659,"Asian","Women","Associates","Women Associates"
"8","Asian Women Bachelors",97114.6115043849,37467729.8412134,6088167.46229464,44164714.0497375,84089.1301123797,110140.09289639,6645.65377143118,"Asian","Women","Bachelors","Women Bachelors"
"9","Asian Women Masters",121203.944330893,40928250.19942,11093714.0040676,53131335.6038944,106917.260360989,135490.628300797,7289.12447444097,"Asian","Women","Masters","Women Masters"
"10","Asian Women PhD",114133.01150369,87091525.1764715,14654503.8429389,103211479.403704,94220.7735762932,134045.249431087,10159.3050649985,"Asian","Women","PhD","Women PhD"
"11","Asian Women Primary",48400.7088274932,42233290.3169618,4035098.77850795,46671898.9733205,35010.6092350365,61790.8084199498,6831.68346553911,"Asian","Women","Primary","Women Primary"
"12","Asian Women Secondary",61747.5611519383,37800260.6909005,5642247.5806081,44006733.0295694,48745.3972702456,74749.725033631,6633.75708249627,"Asian","Women","Secondary","Women Secondary"
"13","Black Men Associates",56375.60889642,15785307.4320033,5189866.92274823,21494161.0470264,47288.6969303967,65462.5208624432,4636.17957450166,"Black","Men","Associates","Men Associates"
"14","Black Men Bachelors",80386.6783771536,15877150.3784536,4673674.00172355,21018191.7803495,71400.9404807206,89372.4162735865,4584.56015124128,"Black","Men","Bachelors","Men Bachelors"
"15","Black Men Masters",104476.011203662,19030033.9335511,9692804.84323886,29692119.2611139,93795.8779950591,115156.144412264,5449.04755540947,"Black","Men","Masters","Men Masters"
"16","Black Men PhD",97405.078376459,68491429.3703955,8582378.93568489,77932046.1996488,80102.3690891661,114707.787663752,8827.91290168004,"Black","Men","PhD","Men PhD"
"17","Black Men Primary",31672.7757002619,17693234.0105539,3192170.51032304,21204621.5719093,22647.2743717679,40698.2770287558,4604.84761657856,"Black","Men","Primary","Men Primary"
"18","Black Men Secondary",45019.628024707,13194377.8494279,5620503.59766815,19376931.8068629,36391.8576737273,53647.3983756867,4401.92364845903,"Black","Men","Secondary","Men Secondary"
"19","Black Women Associates",40298.3886515231,14590397.1027421,6456637.87951834,21692698.7702122,31169.6060604189,49427.1712426273,4657.54213831848,"Black","Women","Associates","Women Associates"
"20","Black Women Bachelors",64309.4581322567,15207679.5704096,7763291.65340142,23747300.3891511,54758.1425592603,73860.7737052531,4873.12019030427,"Black","Women","Bachelors","Women Bachelors"
"21","Black Women Masters",88398.7909587647,17644850.2452201,13665306.1147631,32676686.9714595,77194.7398758056,99602.8420417239,5716.35259334652,"Black","Women","Masters","Women Masters"
"22","Black Women PhD",81327.8581315621,66900337.8131717,11846342.239423,79931314.2765371,63804.6125153886,98851.1037477356,8940.43143682323,"Black","Women","PhD","Women PhD"
"23","Black Women Primary",15595.555455365,17050601.9286031,4063281.82233146,21520211.9331677,6503.138496027,24687.972414703,4638.9882445602,"Black","Women","Primary","Women Primary"
"24","Black Women Secondary",28942.4077798101,12612138.9681676,7619652.64655361,20993756.8793766,19961.8946303396,37922.9209292806,4581.89446401557,"Black","Women","Secondary","Women Secondary"
"25","Hispanic Men Associates",66994.8498625536,20022673.1234954,5916111.78972219,26530396.0921899,56899.3474170209,77090.3523080863,5150.76655384321,"Hispanic","Men","Associates","Men Associates"
"26","Hispanic Men Bachelors",91005.9193432871,20237647.0183154,6868294.05773923,27792770.4818285,80673.0249238617,101338.813762713,5271.8849078701,"Hispanic","Men","Bachelors","Men Bachelors"
"27","Hispanic Men Masters",115095.252169795,23191799.0097635,14178275.5194735,38787902.0811843,102888.385060046,127302.119279544,6227.99342334145,"Hispanic","Men","Masters","Men Masters"
"28","Hispanic Men PhD",108024.319342593,72470735.3627862,7266663.22128724,80464064.9062021,90442.7735702872,125605.865114898,8970.17641444148,"Hispanic","Men","PhD","Men PhD"
"29","Hispanic Men Primary",42292.0166663954,20544575.8076079,10469935.0955726,32061504.4127377,31193.9323563907,53390.1009764002,5662.28791326772,"Hispanic","Men","Primary","Men Primary"
"30","Hispanic Men Secondary",55638.8689908406,17723850.2315098,6112896.24045411,24448036.0960093,45947.6577421664,65330.0802395147,4944.49553503785,"Hispanic","Men","Secondary","Men Secondary"
"31","Hispanic Women Associates",56885.1999784562,14049027.4773969,4042290.41592699,18495546.9349166,48455.9358880877,65314.4640688247,4300.64494406556,"Hispanic","Women","Associates","Women Associates"
"32","Hispanic Women Bachelors",80896.2694591897,14005861.786041,3875451.76589308,18268858.7285234,72518.8207012745,89273.718217105,4274.20854995676,"Hispanic","Women","Bachelors","Women Bachelors"
"33","Hispanic Women Masters",104985.602285698,17163597.2781663,8129342.26526676,26105873.7699597,94971.1964284002,115000.008142995,5109.3907435192,"Hispanic","Women","Masters","Women Masters"
"34","Hispanic Women PhD",97914.6694584951,66315470.2956353,4862565.42760264,71664292.2659982,81322.3355307724,114507.003386218,8465.47649373608,"Hispanic","Women","PhD","Women PhD"
"35","Hispanic Women Primary",32182.366782298,15213619.1378381,9083634.14861708,25205616.7013169,22342.1484351383,42022.5851294578,5020.51956487742,"Hispanic","Women","Primary","Women Primary"
"36","Hispanic Women Secondary",45529.2191067431,11774112.388865,3957014.24356183,16126828.056783,37658.2075667352,53400.230646751,4015.82221428975,"Hispanic","Women","Secondary","Women Secondary"
"37","Other Men Associates",60643.9168742928,49484492.067985,4286233.26989983,54199348.6648748,46214.35631858,75073.4774300056,7362.02069169021,"Other","Men","Associates","Men Associates"
"38","Other Men Bachelors",84654.9863550263,49525283.8862932,6114373.78658534,56251095.0515371,69954.8432689885,99355.1294410641,7500.07300308051,"Other","Men","Bachelors","Men Bachelors"
"39","Other Men Masters",108744.319181534,52568441.9831864,10394935.7468721,64002871.3047457,93063.967450648,124424.670912421,8000.17945453386,"Other","Men","Masters","Men Masters"
"40","Other Men PhD",101673.386354332,103142800.406108,20421010.184402,125605911.60895,79706.8738856456,123639.898823018,11207.4043207582,"Other","Men","PhD","Men PhD"
"41","Other Men Primary",35941.0836781346,51238064.8319836,9292637.51310332,61459966.0963972,20575.3879322232,51306.779424046,7839.64068668949,"Other","Men","Primary","Men Primary"
"42","Other Men Secondary",49287.9360025797,47131308.5752891,2840809.38332724,50256198.8969491,35393.181104327,63182.6909008325,7089.16066237387,"Other","Men","Secondary","Men Secondary"
"43","Other Women Associates",57010.4853384856,38604254.7336111,9906327.78020898,49501215.291841,43220.4937262642,70800.476950707,7035.7100062354,"Other","Women","Associates","Women Associates"
"44","Other Women Bachelors",81021.5548192191,38805555.9628729,3977810.60040597,43181147.6233194,68141.9315052497,93901.1781331885,6571.23638467826,"Other","Women","Bachelors","Women Bachelors"
"45","Other Women Masters",105110.887645727,42180406.8857504,17106637.0331915,60997707.6222611,89803.085922368,120418.689369086,7810.10292008122,"Other","Women","Masters","Women Masters"
"46","Other Women PhD",98039.9548185246,92659468.6427315,22688203.0050849,117616491.948325,76783.5318958246,119296.377741225,10845.1137360714,"Other","Women","PhD","Women PhD"
"47","Other Women Primary",32307.6521423274,40053306.0919094,9373286.69520922,50363921.4566396,18398.0137333742,46217.2905512807,7096.75429028225,"Other","Women","Primary","Women Primary"
"48","Other Women Secondary",45654.5044667726,37038090.3009556,4855538.61071641,42379182.7727436,32895.0425447411,58413.9663888041,6509.92955205689,"Other","Women","Secondary","Women Secondary"
"49","White Men Associates",77302.0783994736,7338389.76910792,1693993.72036104,9201782.86150507,71356.5280430509,83247.6287558962,3033.44405939933,"White","Men","Associates","Men Associates"
"50","White Men Bachelors",101313.147880207,6365906.90156941,1584795.19178282,8109181.61253052,95731.7294150947,106894.566345319,2847.66248220018,"White","Men","Bachelors","Men Bachelors"
"51","White Men Masters",125402.480706715,9427296.60906773,4126951.39405987,13966943.1425336,118077.495466023,132727.465947407,3737.23736770005,"White","Men","Masters","Men Masters"
"52","White Men PhD",118331.547879513,59265941.7724968,10454534.8617559,70765930.1204283,101843.5402027,134819.555556325,8412.2488147004,"White","Men","PhD","Men PhD"
"53","White Men Primary",52599.2452033154,10129473.1611648,5990598.10759215,16719131.0795161,44584.9945237404,60613.4958828905,4088.90340794645,"White","Men","Primary","Men Primary"
"54","White Men Secondary",65946.0975277605,5245208.80089587,1759103.19202589,7180222.31212435,60694.093906831,71198.1011486901,2679.59368414772,"White","Men","Secondary","Men Secondary"
"55","White Women Associates",69898.8408636714,6956241.91648353,1326478.70082046,8415368.48738604,64213.0269746014,75584.6547527415,2900.92545360718,"White","Women","Associates","Women Associates"
"56","White Women Bachelors",93909.910344405,6478042.22574009,3582956.8042749,10419294.7104425,87583.239611734,100236.581077076,3227.89323095459,"White","Women","Bachelors","Women Bachelors"
"57","White Women Masters",117999.243170913,8955267.18294678,4480810.05377183,13884158.2420958,110695.998528781,125302.487813045,3726.14522557774,"White","Women","Masters","Women Masters"
"58","White Women PhD",110928.31034371,60143316.1678881,11126130.9730587,72382060.2382527,94253.0915262175,127603.529161203,8507.76470280253,"White","Women","PhD","Women PhD"
"59","White Women Primary",45196.0076675133,10234470.6212514,4607833.7450194,15303087.7407727,37528.6520695935,52863.3632654331,3911.91612138767,"White","Women","Primary","Women Primary"
"60","White Women Secondary",58542.8599919584,4978140.39696912,2927518.81780347,8198411.09655293,52930.8179332673,64154.9020506495,2863.28676463831,"White","Women","Secondary","Women Secondary"
